"Nummer [Anke]","offizielle Nummer",Bezeichnung,Stadtteil,Adresse,"Koordinaten NS","Koordinaten OW ",Datierung,Beschreibung,Status,Fütterung,Kontrollen,WikipediaId,OsmId
25,261,Handschwengelpumpe,Dölitz-Dösen,Bürgerstraße,5128800,1239255,"um 1910 (Handschwengelpumpe)","gusseiserne Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Nähe Einmündung Bornaische Straße (Typ Kleiner Löwe)","wahrscheinlich abgebaut",,,09296178,node/2633989757
26,43,"Handschwengelpumpe [rekonstruiert]",Zentrum,"Burgstraße 19",5133824,1237331,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor dem Gasthof Thüringer Hof (Typ Gotik)",betriebsbereit,,,09292753,
27,65,"Handschwengelpumpe [Torso]",Zentrum-Ost,Chopinstraße,5134339,12390347,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Nr. 15 in Ecklage Hans-Poeche-Straße (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09290039,
28,247,"Handschwengelpumpe [abgebaut]",Schönefeld-Abtnaundorf,Clara-Wieck-Straße,5135746,1241371,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 34/36","wahrscheinlich abgebaut",,,09294857,
29,259,Handschwengelpumpe,Gohlis-Mitte,Coppiplatz,5136743665,12367130431077214,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Ganzplatte) zwischen Landsberger Straße und Heinrich-Budde-Straße","wahrscheinlich abgebaut",,,09297788,
30,207,"Handschwengelpumpe [rekonstruiert]",Reudnitz-Thonberg,"Crusiusstraße 2a",5133902,1239841,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 2a in Ecklage Dresdner Straße/Stephaniplatz (Typ Delphin)","betriebsbereit, wenn mit ca. 6 L Wasser gefüttert wurde",17.07.2021,"21.7.21, 4.8.21",09294869,
31,218,"Handschwengelpumpe [rekonstruiert]",Zentrum-West,"Davidstraße 9",5133486,1235675,"nach 1908 (Wasserversorgungs- und Abwasseranlage)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Nr. 9 in Ecklage Sebastian-Bach-Straße (Typ Kleiner Löwe)",,,,09292455,
32,,Handschwengelpumpe,Eutritzsch,"Delitzscher Straße 141",5138447695,12376157898775695,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte im Städtischen Klinikum „St. Georg“ Leipzig",,,,09294844,
33,173,"Handschwengelpumpe [abgebaut]",Kleinzschocher,Dieskaustraße,5131685,1232703,,"Handschwengelpumpe und Brunnenschacht und Abdeckplatte vor Nr. 51, gegenüber 36/38","wahrscheinlich abgebaut",,,09294874,
34,174,"Handschwengelpumpe [abgebaut]",Kleinzschocher,Dieskaustraße,5131625,1232644,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 50","wahrscheinlich abgebaut",,,09290217,
35,172,Handschwengelpumpe,Kleinzschocher,Dieskaustraße,5131950,1232905,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 12 in Nähe Ecklage Wigandstraße (Typ Delphin)","wahrscheinlich abgebaut",,,09294873,
36,248,"Handschwengelpumpe [Torso]",Schönefeld-Abtnaundorf,"Dimpfelstraße 52",5135380,1240868,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ L)","wahrscheinlich nur alter Torso vorhanden",,,09260231,
37,249,Handschwengelpumpe,Schönefeld-Abtnaundorf,"Dimpfelstraße 25",5135648,1240932,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte","wahrscheinlich nur alter Torso vorhanden",,,09260243,
